[11:59:18] CPU: 26.51%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:19] CPU: 84.69%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:20] CPU: 56.10%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:21] CPU: 26.42%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:22] CPU: 27.03%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:24] CPU: 18.06%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:25] CPU: 30.88%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:26] CPU: 31.39%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:27] CPU: 19.53%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:28] CPU: 20.90%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:29] CPU: 16.00%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:30] CPU: 18.05%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:31] CPU: 19.58%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:32] CPU: 23.92%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:33] CPU: 17.17%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:34] CPU: 25.82%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:36] CPU: 21.36%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:37] CPU: 25.27%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:38] CPU: 18.13%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:39] CPU: 12.39%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:40] CPU: 18.30%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:41] CPU: 18.93%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:42] CPU: 22.04%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:43] CPU: 21.14%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:44] CPU: 23.33%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:45] CPU: 29.25%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:46] CPU: 28.75%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
[11:59:47] CPU: 22.17%, RAM: 0 MB / 0.00%, GPU: 0.00%, VRAM: 0.00%
